Famillies,Hospital,Sewage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeromonadaceae,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alteromonadaceae,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azonexaceae,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteroidaceae,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacteriaceae,16,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradyrhizobiaceae,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brucellaceae,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkholderiaceae,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campylobacterales,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caulobacteraceae,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chlamydiaceae,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromobacteriaceae,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clostridiaceae,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comamonadaceae,12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desulfobacteraceae,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterobacteriaceae,86,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erwiniaceae,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erysipelotrichaceae,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavobacteriaceae,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geobacteraceae,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hafniaceae,2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methylobacteriaceae,5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microbacteriaceae,1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micrococcaceae,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moraxellaceae,80.1,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycobacteriaceae,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
